Option,Model,Metric,Mean,Std
Option4_No_CC,RandomForest,Sensitivity,0.005309734513274336,0.00791528487610545
Option4_No_CC,RandomForest,Specificity,0.997560975609756,0.001986368336409632
Option4_No_CC,RandomForest,PPV,0.3,0.4472135954999579
Option4_No_CC,RandomForest,NPV,0.9103339117881649,0.0010199550495031593
Option4_No_CC,RandomForest,Precision,0.3,0.4472135954999579
Option4_No_CC,RandomForest,Recall,0.005309734513274336,0.00791528487610545
Option4_No_CC,RandomForest,AUROC,0.7446916516956107,0.007363692066032299
Option4_No_CC,RandomForest,AUPRC,0.20232169513424852,0.01802068825379726
Option4_No_CC,XGBoost,Sensitivity,0.27501940692439064,0.040579517861711406
Option4_No_CC,XGBoost,Specificity,0.8986062717770034,0.010299394601991266
Option4_No_CC,XGBoost,PPV,0.21074350730534447,0.01431915360157211
Option4_No_CC,XGBoost,NPV,0.9262256042469682,0.0029778547962441095
Option4_No_CC,XGBoost,Precision,0.21074350730534447,0.01431915360157211
Option4_No_CC,XGBoost,Recall,0.27501940692439064,0.040579517861711406
Option4_No_CC,XGBoost,AUROC,0.7233547931992728,0.010244414616017482
Option4_No_CC,XGBoost,AUPRC,0.2023545367935619,0.01791926381209339
